Monto CIF en USD de importaci—n del Pistacho;;;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;no hay datos disponibles;;;;
2024;0,0;0,0;0,0;0,0;190,7;0,0;134,7;0,0;0,0;149.493,1;0,0;0,0;149.818,4;;;;
2023; - ; 20.058,2 ; - ; - ; 57.202,0 ; - ; - ; - ; - ; - ; 223,6 ; - ; 77.483,8 ;;;;
2022;0,0;18.246,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18.246,8;;;;
2021; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1.195,3 ; - ; 1.195,3 ;;;;
2020; 13,9 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 13,9 ;;;;
2019; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1.710,9 ; - ; - ; 1.710,9 ;;;;
2018; - ; - ; - ; - ; - ; 584,3 ; - ; - ; - ; - ; - ; - ; 584,3 ;;;;
2017; -   ; -   ; -   ; 428,2 ; -   ; 28,6 ; -   ; -   ; -   ; 4.265,9 ; -   ; -   ; 4.722,7 ;;;;
2016;;;;;;;;;;;;;no hay datos disponibles;;;;
2015;;;;;;;;;;;;;358,9;;;;
2014; -   ; - ; -   ; -   ; 80.727,4 ; -   ; -   ; -   ; 2.209,2 ; -   ; -   ; -   ; no hay datos disponibles ;;;;
2013;; - ;;;;;;;;;;;;;;;
2012;; - ;;;;;;;;;;;805,3;;;;
;; ;;;;;;;;;;;;;;;
Monto CIF en USD de importaci—n de la nuez;;;;;;;;;;;;;;;;;
A–o;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Acomulado hasta diciembre;;;;
2025;0,0;0,0;0,0;0,0;0,0;0,0;0,0;120.000,0;;;;;hasta agosto 120.000;;;;
2024;0,0;0,0;0,0;0,0;0,0;55.576,6;0,0;0,0;79.800,0;0,0;0,0;0,0;135.376,6;;;;
2023; - ; - ; - ; 20,0 ; - ; - ; 52.199,9 ; 69.301,6 ; - ; - ; - ; - ; 121.521,4 ;;;;
2022;62.169,7;0,0;0,0;0,0;0,0;0,0;301.619,9;0,0;0,0;0,0;0,0;0,0;363.789,6;;;;
2021; 82.800,1 ; 127.000,2 ; 41.339,8 ; - ; 46.778,0 ; 55.050,0 ; 153.644,7 ; 30.309,8 ; 75.929,8 ; 94.437,4 ; - ; 128.307,7 ; 835.597,5 ;;;;
2020; 331.623,6 ; 116.456,2 ; - ; - ; 5.708,4 ; 82.365,0 ; 108.628,5 ; 297.580,2 ; - ; 51.965,5 ; 590,0 ; 86.799,5 ; 1.081.716,9 ;;;;
2019; - ; 139.920,0 ; - ; - ; - ; - ; 120.612,8 ; 95.939,5 ; 140.890,4 ; 52.129,3 ; - ; 228.731,3 ; 778.223,2 ;;;;
2018; - ; 73.953,2 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;73.953,2;;;;
2017;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;114.877,3;;;;
2016;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;745.341,0;;;;
2015;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;807.862,0;;;;
2014;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;3.404.530,7;;;;
2013;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;1.779.680,0;;;;
2012;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;1.669.559,3;;;;
;;;;;;;;;;;;;;;;;
Monto CIF en USD de importaci—n de la nuez;;;;;;;;;;;;;;;;;
A–o;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Acomulado hasta diciembre;;;;
2025;0,0;0,0;0,0;0,0;0,0;0,0;0,0;120.000,0;;;;;hasta agosto 120.000;;;;
2024;0,0;0,0;0,0;0,0;0,0;55.576,6;0,0;0,0;79.800,0;0,0;0,0;0,0;135.376,6;;;;
2023; - ; - ; - ; 20,0 ; - ; - ; 52.199,9 ; 69.301,6 ; - ; - ; - ; - ; 121.521,4 ;;;;
2022;62.169,7;0,0;0,0;0,0;0,0;0,0;301.619,9;0,0;0,0;0,0;0,0;0,0;363.789,6;;;;
2021; 82.800,1 ; 127.000,2 ; 41.339,8 ; - ; 46.778,0 ; 55.050,0 ; 153.644,7 ; 30.309,8 ; 75.929,8 ; 94.437,4 ; - ; 128.307,7 ; 835.597,5 ;;;;
2020; 331.623,6 ; 116.456,2 ; - ; - ; 5.708,4 ; 82.365,0 ; 108.628,5 ; 297.580,2 ; - ; 51.965,5 ; 590,0 ; 86.799,5 ; 1.081.716,9 ;;;;
2019; - ; 139.920,0 ; - ; - ; - ; - ; 120.612,8 ; 95.939,5 ; 140.890,4 ; 52.129,3 ; - ; 228.731,3 ; 778.223,2 ;;;;
2018; - ; 73.953,2 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;73.953,2;;;;
2017;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;114.877,3;;;;
2016;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;745.341,0;;;;
2015;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;807.862,0;;;;
2014;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;3.404.530,7;;;;
2013;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;1.779.680,0;;;;
2012;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;.- ;1.669.559,3;;;;

